ID,品名,英文名,官方建議售價,酒精濃度,官方簡述,色澤,風味,口感,飲用建議,官方頁面
1,噶瑪蘭經典,Kavalan Classic,"NTD 2,100",40%,由調酒師精選波本桶、雪莉桶、重裝桶等多款橡木桶，以絕佳比例調配，經由台灣獨特的亞熱帶氣候淬鍊，於短時間達到熟成、呈現香醇平衡的風味。採用雪山山脈純淨水源，創造出酒質的順口厚實，是第一支噶瑪蘭單一麥芽威士忌、亦為相當經典的入門酒款。,活潑與熱情的琥珀色,相當乾淨、優雅、富有怡人清新的蝴蝶蘭花香與誘人的果香味。隱約散發著蜂蜜、熱帶芒果、洋梨、香草、椰子風味,獨特似芒果之香甜風味與受橡木洗禮後之豐富多層次辛香酒體。有著溫暖、綿密、滑順與帶有柑橘的終感,適合與海鮮一起搭配飲用 調配比例：一份酒+五份水+冰塊,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=1
2,噶瑪蘭山川首席 波特風味桶,Kavalan Concertmaster Port Cask Finish,"NTD 1,500",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,溫暖的棕紅色,橙花、甘蔗與鳳梨交融蜂蜜香氣，肉桂辛香點綴蜜餞與櫻桃，圓潤飽滿、餘韻悠長。,飽如和諧交響，層次豐富，清新莓果揭開序幕，交織蜂蜜烤堅果、棉花糖、鳳梨與無花果的熱帶果香，尾韻則綻放牛奶巧克力、太妃糖與葡萄乾的甜美。,適合與甜點一起搭配飲用,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=2
3,金車頂極指揮,King Car Conductor,"NTD 2,500",46%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,熱情如台灣的鮮明琥珀色,擁有細緻的深度層次，蘊含繽紛的木瓜、香蕉、青蘋果等水果香氣，宜人的花香與紅棗香氣拂面而來，整體風味相當乾淨並散發鮮果香,帶有香蕉的甜味和清香令人驚豔！若有似無的苦澀將整體甜度平衡至完美、口感飽滿圓潤,適合與台式、日式、泰式等各式的料理一起搭配飲用,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=3
5,噶瑪蘭波本桶,Kavalan ex-Bourbon Oak,"NTD 2,100",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,迷人、生動之金黃色黃頭鷺,純淨、清晰之熱帶水果香氣與豐富的椰子、香草與木頭辛香味交錯呈現,自然甘甜、香草與橡木香氣均衡發展。口感非常的圓潤、如絲綢般的滑順,適合與清淡及清爽的海鮮料理一起搭配飲用,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=5
6,噶瑪蘭Oloroso雪莉桶,Kavalan Oloroso Sherry Oak,"NTD 2,300",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,深沉的紅褐色,風味純淨，帶有豐富與多層次的乾果、堅果和辛香料香氣。隱約散發著迷人、愉悅的杏仁香,渾厚、滑順的乾果和辛香料持續於口中散發熱情風韻，如佛朗明哥般舞動挑逗味蕾享受，同時帶有些微的上等咖啡香氣,適合與堅果類、巧克力或紅肉類料理一起搭配飲用,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=6
8,噶瑪蘭堡典,Kavalan Podium,"NTD 2,500",46%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,帶有琥珀光澤的深金色,優雅乾淨花香和細膩甜蜜緩緩蔓延舌間，而後顯現如青蘋果般的亞熱帶水果香氣、散發櫻桃、葡萄與白胡椒氣息，有著豐富驚喜的風味變化,口感如絲絨滑順，層次細膩堆疊，尾韻綿延悠長、乾淨且平衡，酒體溫柔飽滿呈現層次分明而柔和的多重風味,適合與台式、日式、泰式等各式的料理一起搭配飲用,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=8
9,噶瑪蘭珍選No. 1,Kavalan Distillery Select No. 1,"NTD 1,100",40%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,深邃的琥珀色,熱帶水果的成熟香氣，包覆著滑順的風味，隱約透露著迷人的芬芳,甜蜜、輕柔、絲滑入口，平衡的口感為用桶工藝的完美交織,適合純飲與調酒,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=9
10,噶瑪蘭經典獨奏 波本桶 威士忌原酒,Kavalan Solist ex-Bourbon Single Cask Strength,"NTD 3,000",50-59.9%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,迷人、生動之金黃色黃頭鷺 (金車酒廠棲息的野生鳥類之一),純淨、清新之熱帶水果香氣與豐富的椰子、香草和木頭辛香味交錯呈現,自然的甘甜、香草與橡木香氣均衡發展。口感非常的圓潤、絲綢般的滑順,適合純飲,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=10
11,噶瑪蘭經典獨奏 Oloroso雪莉桶 威士忌原酒,Kavalan Solist Oloroso Sherry Single Cask Strength,"NTD 3,500",50-59.9%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,穩重、深沉和可口的黑葡萄乾顏色,風味純淨，帶有豐富與多層次的乾果、堅果和辛香料香氣。隱約散發著迷人、愉悅的杏仁香,渾厚、滑順的乾果和辛香料將持續於口裡熱情，舞動佛朗明哥挑逗味蕾，同時帶有些微的上等咖啡香氣,適合純飲,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=11
12,噶瑪蘭經典獨奏 Fino雪莉桶 威士忌原酒,Kavalan Solist Fino Sherry Single Cask Strength,"NTD 6,600",50-59.9%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,神秘的暗琥珀色,濃郁豐厚的雪莉香氣，帶有奶油太妃糖和乳脂軟糖的香甜調性，絲滑牛奶巧克力蘊含其中；輕飲入喉間，與多層次的熱帶水果香氣達成完美平衡,乳脂軟糖的柔和香甜，烘托出舌尖上的自然甜味。多層次的豐盈果香中，夾帶著一絲木質調氣息，賦予味蕾悠長而甜蜜的尾韻感受,適合純飲,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=12
